Text	POS	Dep	Head
la	DET	det	Société
Société	PROPN	nmod	succès
royale	ADJ	amod	Société
géographique	ADJ	amod	Société
de	ADP	case	Londres
Londres	PROPN	nmod	Société
Mais	CCONJ	cc	paroles
,	PUNCT	punct	paroles
en	ADP	case	Angleterre
Angleterre	PROPN	dep	paroles
,	PUNCT	punct	paroles
l'	DET	det	enthousiasme
enthousiasme	NOUN	nsubj	paroles
ne	ADV	advmod	tient
s'	PRON	expl:comp	tient
en	PRON	case	tient
tient	NOUN	cop	paroles
pas	ADV	advmod	tient
seulement	ADV	advmod	paroles
aux	ADP	case	paroles
paroles	NOUN	conj	beau
.	PUNCT	punct	put
Il	PRON	nsubj	bat
bat	VERB	ROOT	bat
monnaie	NOUN	obj	bat
plus	ADV	advmod	rapidement
rapidement	ADV	advmod	encore
encore	ADV	advmod	monnaie
que	SCONJ	mark	balancier
le	DET	det	balancier
balancier	NOUN	ccomp	bat
de	ADP	case	«
«	NOUN	nmod	balancier
the	X	dep	balancier
Royal	NOUN	parataxis	bat
Mint	PROPN	flat:name	Royal
[	PUNCT	punct	bat
La	DET	det	Monnaie
Monnaie	NOUN	obj	bat
à	ADP	case	Londres.].
Londres.].	PROPN	nmod	Monnaie
»	PUNCT	punct	bat
Une	DET	det	indemnité
indemnité	NOUN	nsubj:pass	votée
d'	ADP	case	encouragement
encouragement	VERB	nmod	indemnité
fut	AUX	aux:pass	votée
votée	VERB	ROOT	votée
,	PUNCT	punct	votée
séance	NOUN	obl:mod	votée
tenante	NOUN	amod	séance
,	PUNCT	punct	séance
en	ADP	case	faveur
faveur	NOUN	nmod	séance
du	ADP	case	docteur
docteur	NOUN	nmod	faveur
Fergusson	PROPN	nmod	docteur
,	PUNCT	punct	séance
et	CCONJ	cc	éleva
s'	PRON	expl:comp	éleva
éleva	VERB	conj	votée
au	ADP	case	chiffre
chiffre	NOUN	obl:arg	éleva
de	ADP	case	mille
deux	NUM	nummod	mille
mille	NUM	nmod	chiffre
cinq	NUM	nummod	cents
cents	NOUN	obj	éleva
livres[Soixante	SPACE	nmod	cents
-	PROPN	nmod	cents
deux	NUM	nmod	cents
mille	NUM	dep	éleva
cinq	NUM	nummod	cents
cents	NOUN	obl:mod	votée
francs.].	DET	nmod	cents
L'	DET	det	importance
importance	NOUN	nsubj	proportionnait
de	ADP	case	somme
la	DET	det	somme
somme	NOUN	nmod	importance
se	PRON	expl:comp	proportionnait
proportionnait	VERB	ROOT	proportionnait
à	ADP	case	importance
l'	DET	det	importance
importance	NOUN	obl:mod	proportionnait
de	ADP	case	entreprise
l'	DET	det	entreprise
entreprise	NOUN	nmod	importance
.	PUNCT	punct	proportionnait
L'	DET	det	un
un	PRON	nsubj	interpella
des	ADP	case	membres
membres	NOUN	nmod	un
de	ADP	case	Société
la	DET	det	Société
Société	PROPN	nmod	membres
interpella	VERB	ROOT	interpella
le	DET	det	président
président	NOUN	obj	interpella
sur	ADP	case	question
la	DET	det	question
question	NOUN	nmod	président
de	ADP	mark	savoir
savoir	VERB	xcomp	interpella
si	SCONJ	mark	présenté
le	DET	det	docteur
docteur	NOUN	nsubj	présenté
Fergusson	PROPN	nmod	docteur
ne	ADV	advmod	présenté
serait	AUX	cop	présenté
pas	ADV	advmod	officiellement
officiellement	ADV	advmod	présenté
présenté	VERB	ccomp	savoir
.	PUNCT	punct	interpella
«	NOUN	ROOT	«
Le	DET	det	docteur
docteur	NOUN	nsubj	tient
se	PRON	expl:comp	tient
tient	VERB	ROOT	tient
à	ADP	case	disposition
la	DET	det	disposition
disposition	NOUN	obl:arg	tient
de	ADP	case	assemblée
l'	DET	det	assemblée
assemblée	NOUN	nmod	disposition
,	PUNCT	punct	répondit
répondit	VERB	advcl	tient
sir	ADP	det	Francis
Francis	PROPN	obj	répondit
M	NOUN	flat:name	Francis
…	PUNCT	punct	tient
--	PUNCT	nsubj	entre
Qu'	PRON	mark	entre
il	PRON	expl:subj	entre
entre	VERB	ROOT	entre
!	PUNCT	punct	entre
s'	PRON	det	écria
écria	VERB	ROOT	écria
-t	PRON	dep	écria
-on	PRON	flat:name	-t
,	PUNCT	punct	écria
qu'	SCONJ	mark	entre
il	PRON	expl:subj	entre
entre	VERB	ccomp	écria
!	PUNCT	punct	écria
Il	PRON	expl:subj	bon
est	AUX	cop	bon
bon	ADJ	ROOT	bon
de	ADP	mark	voir
voir	VERB	dep	bon
par	ADP	case	yeux
ses	DET	det	yeux
propres	ADJ	amod	yeux
yeux	NOUN	obl:agent	voir
un	DET	det	homme
homme	NOUN	nmod	yeux
d'	ADP	case	audace
une	DET	det	audace
audace	NOUN	nmod	homme
aussi	ADV	advmod	extraordinaire
extraordinaire	ADJ	amod	audace
!	PUNCT	punct	bon
--	PUNCT	nsubj	dit
Peut	ADV	advmod	dit
-	ADV	dep	Peut
être	AUX	cop	proposition
cette	DET	det	proposition
incroyable	ADJ	amod	proposition
proposition	NOUN	dep	-
,	PUNCT	punct	dit
dit	VERB	ROOT	dit
un	DET	det	commodore
vieux	ADJ	amod	commodore
commodore	ADV	obj	dit
apoplectique	ADJ	amod	commodore
,	PUNCT	punct	dit
n'	ADV	advmod	eu
a	AUX	aux:tense	eu
-t	PRON	expl:subj	eu
-elle	PRON	expl:comp	eu
eu	VERB	advcl	dit
d'	DET	det	but
autre	ADJ	amod	but
but	NOUN	obj	eu
que	SCONJ	mark	mystifier
de	ADP	mark	mystifier
nous	PRON	nsubj	mystifier
mystifier	ADV	acl:relcl	but
!	PUNCT	punct	dit
--	PUNCT	ROOT	--
Et	CCONJ	cc	existait
si	SCONJ	mark	existait
le	DET	det	docteur
docteur	NOUN	nsubj	existait
Fergusson	PROPN	nmod	docteur
n'	ADV	advmod	existait
existait	VERB	ROOT	existait
pas	ADV	advmod	existait
!	PUNCT	punct	existait
cria	ADJ	ROOT	cria
une	DET	det	voix
voix	NOUN	obj	cria
malicieuse	ADJ	amod	voix
.	PUNCT	punct	cria
--	PUNCT	punct	faudrait
Il	PRON	nsubj	faudrait
faudrait	VERB	ROOT	faudrait
l'	DET	det	inventer
inventer	NOUN	obj	faudrait
,	PUNCT	punct	répondit
répondit	VERB	conj	faudrait
un	DET	det	membre
membre	NOUN	obj	répondit
plaisant	ADJ	amod	membre
de	ADP	case	Société
cette	DET	det	Société
grave	ADJ	amod	Société
Société	PROPN	nmod	membre
.	PUNCT	punct	faudrait
--	PUNCT	punct	entrer
Faites	PROPN	nsubj	entrer
entrer	VERB	ROOT	entrer
le	DET	det	docteur
docteur	NOUN	obj	entrer
Fergusson	PROPN	nmod	docteur
,	PUNCT	punct	dit
»	PUNCT	punct	dit
dit	VERB	advcl	entrer
simplen1ent	ADV	advmod	dit
sir	VERB	case	Francis
Francis	PROPN	dep	dit
M	NOUN	flat:name	Francis
...	PUNCT	punct	entrer
Et	CCONJ	cc	entra
le	DET	det	docteur
docteur	NOUN	nsubj	entra
entra	VERB	ROOT	entra
au	ADP	case	milieu
milieu	NOUN	obl:arg	entra
d'	ADP	case	tonnerre
un	DET	det	tonnerre
tonnerre	NOUN	nmod	milieu
d'	ADP	case	applaudissements
applaudissements	NOUN	nmod	tonnerre
,	PUNCT	punct	entra
pas	ADV	advmod	moins
le	DET	det	moins
moins	ADV	advmod	entra
du	ADP	case	monde
monde	NOUN	nmod	moins
ému	VERB	amod	monde
d'	ADP	case	ailleurs
ailleurs	ADV	nmod	monde
.	PUNCT	ROOT	.
C'	PRON	nsubj	homme
était	AUX	cop	homme
un	DET	det	homme
homme	NOUN	ROOT	homme
d'	ADP	case	quarantaine
une	DET	det	quarantaine
quarantaine	NOUN	nmod	homme
d'	ADP	case	années
années	NOUN	nmod	quarantaine
,	PUNCT	punct	taille
de	ADP	case	taille
taille	NOUN	conj	quarantaine
et	CCONJ	cc	constitution
de	ADP	case	constitution
constitution	NOUN	conj	quarantaine
ordinaires	ADJ	amod	constitution
;	PUNCT	punct	homme
son	DET	det	tempérament
tempérament	NOUN	nsubj	trahissait
sanguin	ADJ	amod	tempérament
se	PRON	expl:comp	trahissait
trahissait	VERB	ROOT	trahissait
par	ADP	case	coloration
une	DET	det	coloration
coloration	NOUN	obl:arg	trahissait
forcée	VERB	acl	coloration
du	ADP	case	visage
visage	NOUN	obl:arg	forcée
,	PUNCT	punct	avait
il	PRON	nsubj	avait
avait	AUX	conj	trahissait
une	DET	det	figure
figure	NOUN	obj	avait
froide	ADJ	amod	figure
,	PUNCT	punct	figure
aux	ADP	case	traits
traits	NOUN	nmod	figure
réguliers	ADJ	amod	traits
,	PUNCT	punct	figure
avec	ADP	case	nez
un	DET	det	nez
nez	NOUN	obl:mod	trahissait
fort	ADV	amod	nez
,	PUNCT	punct	proue
le	DET	det	nez
nez	NOUN	nsubj	proue
en	ADP	iobj	proue
proue	VERB	conj	trahissait
de	ADP	case	vaisseau
vaisseau	NOUN	obl:arg	proue
de	ADP	case	homme
l'	DET	det	homme
homme	NOUN	nmod	vaisseau
prédestiné	VERB	acl	homme
aux	ADP	case	découvertes
découvertes	NOUN	obl:arg	prédestiné
;	PUNCT	punct	trahissait
ses	DET	det	yeux
yeux	NOUN	nsubj	intelligents
fort	ADV	advmod	doux
doux	ADJ	amod	yeux
,	PUNCT	punct	yeux
plus	ADV	advmod	intelligents
intelligents	ADJ	ROOT	intelligents
que	SCONJ	mark	hardis
hardis	NOUN	dep	intelligents
,	PUNCT	punct	donnaient
donnaient	VERB	ROOT	donnaient
un	DET	det	charme
grand	ADJ	amod	charme
charme	NOUN	obj	donnaient
à	ADP	case	physionomie
sa	DET	det	physionomie
physionomie	NOUN	nmod	charme
;	PUNCT	punct	donnaient
ses	DET	det	bras
bras	NOUN	nsubj	longs
étaient	AUX	cop	longs
longs	NOUN	ROOT	longs
,	PUNCT	punct	longs
et	CCONJ	cc	pieds
ses	DET	det	pieds
pieds	NOUN	nsubj	posaient
se	PRON	expl:comp	posaient
posaient	VERB	parataxis	longs
à	ADP	case	terre
terre	NOUN	obl:arg	posaient
avec	ADP	case	aplomb
l'	DET	det	aplomb
aplomb	NOUN	obl:mod	posaient
du	ADP	case	marcheur
grand	ADJ	amod	marcheur
marcheur	NOUN	nmod	aplomb
.	PUNCT	punct	longs
La	DET	det	gravité
gravité	NOUN	nsubj	respirait
calme	ADJ	amod	gravité
respirait	VERB	ROOT	respirait
dans	ADP	case	personne
toute	ADJ	amod	personne
la	DET	det	personne
personne	NOUN	obl:arg	respirait
du	ADP	case	docteur
docteur	NOUN	nmod	personne
,	PUNCT	punct	respirait
et	CCONJ	cc	venait
l'	DET	det	idée
idée	NOUN	nsubj	venait
ne	ADV	advmod	venait
venait	VERB	conj	respirait
pas	ADV	advmod	venait
à	ADP	case	esprit
l'	DET	det	esprit
esprit	NOUN	obl:arg	venait
qu'	SCONJ	mark	put
il	PRON	expl:subj	put
put	VERB	acl:relcl	esprit
être	AUX	cop	instrument
l'	DET	det	instrument
instrument	NOUN	obj	put
de	ADP	case	innocente
la	DET	det	innocente
plus	ADV	advmod	innocente
innocente	ADJ	amod	mystification
mystification	NOUN	obj	put
.	PUNCT	punct	respirait
Aussi	ADV	advmod	cessèrent
,	PUNCT	punct	cessèrent
les	DET	det	hourras
hourras	NOUN	nsubj	cessèrent
et	CCONJ	cc	applaudissements
les	DET	det	applaudissements
applaudissements	NOUN	conj	hourras
ne	ADV	advmod	cessèrent
cessèrent	VERB	ROOT	cessèrent
qu'	SCONJ	mark	moment
au	ADP	case	moment
moment	NOUN	obl:mod	cessèrent
où	PRON	iobj	réclama
le	DET	det	docteur
docteur	NOUN	nsubj	réclama
Fergusson	PROPN	nmod	docteur
réclama	VERB	acl:relcl	moment
le	DET	det	silence
silence	NOUN	obj	réclama
par	ADP	case	geste
un	DET	det	geste
geste	NOUN	obl:agent	réclama
aimable	ADJ	amod	geste
.	PUNCT	punct	cessèrent
Il	PRON	expl:subj	dirigea
se	PRON	expl:comp	dirigea
dirigea	VERB	ROOT	dirigea
vers	ADP	case	fauteuil
le	DET	det	fauteuil
fauteuil	NOUN	obl:arg	dirigea
préparé	VERB	acl	fauteuil
pour	ADP	case	présentation
sa	DET	det	présentation
présentation	NOUN	obl:mod	préparé
;	PUNCT	punct	dirigea
puis	CCONJ	cc	regard
,	PUNCT	punct	regard
debout	ADV	advmod	regard
,	PUNCT	punct	debout
fixe	ADJ	dep	debout
,	PUNCT	punct	regard
le	DET	det	regard
regard	NOUN	ROOT	regard
énergique	ADJ	amod	regard
,	PUNCT	punct	leva
il	PRON	nsubj	leva
leva	VERB	ROOT	leva
vers	ADP	case	ciel
le	DET	det	ciel
ciel	NOUN	obl:mod	leva
l'	DET	det	index
index	NOUN	nmod	ciel
de	ADP	case	droite
la	DET	det	droite
main	NOUN	amod	droite
droite	NOUN	nmod	index
;	PUNCT	punct	leva
ouvrit	VERB	ROOT	ouvrit
la	DET	det	bouche
bouche	NOUN	obj	ouvrit
et	CCONJ	cc	prononça
prononça	VERB	conj	ouvrit
ce	DET	det	mot
seul	ADJ	amod	mot
mot	NOUN	obj	prononça
:	PUNCT	punct	ouvrit
«	NOUN	ROOT	«
Excelsior	PROPN	ROOT	Excelsior
!	PUNCT	punct	Excelsior
»	PUNCT	ROOT	»
Non	ADV	ROOT	Non
!	PUNCT	punct	Non
jamais	ADV	advmod	interpellation
interpellation	ADJ	ROOT	interpellation
inattendue	ADJ	amod	interpellation
de	ADP	case	MM.
MM.	NOUN	nmod	interpellation
Bright	PROPN	flat:name	MM.
et	CCONJ	cc	Cobden
Cobden	PROPN	conj	MM.
,	PUNCT	punct	interpellation
jamais	ADV	advmod	demande
demande	VERB	conj	interpellation
de	ADP	case	fonds
fonds	NOUN	obj	demande
extraordinaires	ADJ	amod	fonds
de	ADP	case	Palmerston
lord	ADJ	det	Palmerston
Palmerston	NOUN	nmod	fonds
pour	ADP	mark	cuirasser
cuirasser	VERB	advcl	interpellation
les	DET	det	rochers
rochers	NOUN	obj	cuirasser
de	ADP	case	Angleterre
l'	DET	det	Angleterre
Angleterre	PROPN	nmod	rochers
,	PUNCT	punct	interpellation
n'	ADV	advmod	obtinrent
obtinrent	VERB	ROOT	obtinrent
un	DET	det	succès
pareil	ADJ	amod	succès
succès	NOUN	obj	obtinrent
