Text	POS	Dep	Head
Angleterre	PROPN	nmod	orateurs
,	PUNCT	punct	succédait
succédait	VERB	ROOT	succédait
donc	ADV	advmod	succédait
ce	DET	det	Phileas
Phileas	PROPN	obj	succédait
Fogg	PROPN	flat:name	Phileas
,	PUNCT	punct	Phileas
personnage	NOUN	appos	Phileas
énigmatique	ADJ	amod	personnage
,	PUNCT	punct	Phileas
dont	PRON	iobj	savait
on	PRON	nsubj	savait
ne	ADV	advmod	savait
savait	VERB	acl:relcl	Phileas
rien	PRON	obj	savait
,	PUNCT	punct	rien
sinon	ADV	appos	rien
que	SCONJ	mark	fort
c'	PRON	nsubj	fort
était	AUX	cop	fort
un	DET	det	fort
fort	ADV	advmod	galant
galant	ADJ	acl	rien
homme	NOUN	obj	galant
et	CCONJ	cc	un
l'	DET	det	un
un	PRON	conj	galant
des	ADP	case	beaux
plus	ADV	advmod	beaux
beaux	ADJ	amod	gentlemen
gentlemen	NOUN	amod	un
de	ADP	case	haute
la	DET	det	haute
haute	NOUN	nmod	un
société	NOUN	amod	haute
anglaise	ADJ	amod	haute
.	PUNCT	punct	succédait
On	PRON	nsubj	disait
disait	VERB	ROOT	disait
qu'	SCONJ	mark	ressemblait
il	PRON	expl:subj	ressemblait
ressemblait	VERB	ccomp	disait
à	ADP	case	Byron
Byron	PROPN	obl:arg	ressemblait
--	PUNCT	obl:mod	ressemblait
par	ADP	case	tête
la	DET	det	tête
tête	NOUN	obl:mod	ressemblait
,	PUNCT	punct	ressemblait
car	CCONJ	cc	irréprochable
il	PRON	nsubj	irréprochable
était	AUX	cop	irréprochable
irréprochable	ADJ	conj	ressemblait
quant	ADV	case	pieds
aux	DET	case	pieds
pieds	NOUN	obl:mod	irréprochable
--	PROPN	nmod	pieds
,	PUNCT	punct	pieds
mais	CCONJ	cc	Byron
un	DET	det	Byron
Byron	PROPN	conj	pieds
à	ADP	case	moustaches
moustaches	NOUN	nmod	Byron
et	CCONJ	cc	favoris
à	ADP	case	favoris
favoris	VERB	conj	moustaches
,	PUNCT	punct	Byron
un	DET	det	Byron
Byron	PROPN	appos	Byron
impassible	ADJ	amod	Byron
,	PUNCT	punct	Byron
qui	PRON	nsubj	vécu
aurait	AUX	aux:tense	vécu
vécu	VERB	acl:relcl	Byron
mille	NUM	nummod	ans
ans	NOUN	obj	vécu
sans	ADP	mark	vieillir
vieillir	VERB	xcomp	vécu
.	PUNCT	punct	disait
Anglais	PROPN	ROOT	Anglais
,	PUNCT	punct	Anglais
à	ADP	case	coup
coup	NOUN	obl:mod	Londonner
sûr	ADJ	advmod	coup
,	PUNCT	punct	Londonner
Phileas	PROPN	nsubj:pass	Londonner
Fogg	PROPN	flat:name	Phileas
n'	ADV	advmod	Londonner
était	AUX	cop	Londonner
peut-être	ADV	advmod	pas
pas	ADV	advmod	Londonner
Londonner	VERB	ROOT	Londonner
.	PUNCT	punct	Londonner
On	PRON	nsubj	vu
ne	ADV	advmod	vu
l'	PRON	obj	vu
avait	AUX	aux:tense	vu
jamais	ADV	advmod	vu
vu	VERB	ROOT	vu
ni	CCONJ	cc	Bourse
à	ADP	case	Bourse
la	DET	det	Bourse
Bourse	NOUN	obj	vu
,	PUNCT	punct	vu
ni	CCONJ	cc	Banque
à	ADP	case	Banque
la	DET	det	Banque
Banque	NOUN	conj	vu
,	PUNCT	punct	Banque
ni	CCONJ	cc	aucun
dans	ADP	case	aucun
aucun	PRON	conj	Banque
des	ADP	case	comptoirs
comptoirs	NOUN	nmod	aucun
de	ADP	case	Cité
la	DET	det	Cité
Cité	PROPN	nmod	comptoirs
.	PUNCT	punct	vu
Ni	CCONJ	amod	bassins
les	DET	det	bassins
bassins	NOUN	nsubj	reçu
ni	CCONJ	cc	docks
les	DET	det	docks
docks	NOUN	conj	bassins
de	ADP	case	Londres
Londres	PROPN	nmod	docks
n'	ADV	advmod	reçu
avaient	AUX	aux:tense	reçu
jamais	ADV	advmod	reçu
reçu	VERB	ROOT	reçu
un	DET	det	navire
navire	NOUN	obj	reçu
ayant	VERB	acl	navire
pour	ADP	case	armateur
armateur	NOUN	det	Phileas
Phileas	PROPN	obj	reçu
Fogg	PROPN	flat:name	Phileas
.	PUNCT	punct	reçu
Ce	DET	det	gentleman
gentleman	NOUN	nsubj	figurait
ne	ADV	advmod	figurait
figurait	VERB	ROOT	figurait
dans	ADP	case	comité
aucun	DET	det	comité
comité	NOUN	obl:arg	figurait
d'	ADP	case	administration
administration	NOUN	nmod	comité
.	PUNCT	punct	figurait
Son	DET	det	nom
nom	NOUN	nsubj	retenti
n'	ADV	advmod	retenti
avait	AUX	aux:tense	retenti
jamais	ADV	advmod	retenti
retenti	VERB	ROOT	retenti
dans	ADP	case	collège
un	DET	det	collège
collège	NOUN	obl:mod	retenti
d'	ADP	case	avocats
avocats	NOUN	nmod	collège
,	PUNCT	punct	retenti
ni	CCONJ	cc	Temple
au	ADP	case	Temple
Temple	NOUN	conj	retenti
,	PUNCT	punct	retenti
ni	CCONJ	cc	Lincoln'
à	ADP	case	Lincoln'
Lincoln'	PROPN	conj	retenti
s	PRON	obl:arg	Lincoln'
-	PROPN	obl:arg	Lincoln'
inn	PROPN	flat:name	Lincoln'
,	PUNCT	punct	retenti
ni	CCONJ	cc	Gray'
à	ADP	case	Gray'
Gray'	PRON	conj	retenti
s	PRON	punct	retenti
-	PROPN	cop	inn
inn	PROPN	advcl	retenti
.	PUNCT	punct	retenti
Jamais	ADV	advmod	plaida
il	PRON	nsubj	plaida
ne	ADV	advmod	plaida
plaida	VERB	ROOT	plaida
ni	CCONJ	cc	Cour
à	ADP	case	Cour
la	DET	det	Cour
Cour	NOUN	obj	plaida
du	ADP	case	chancelier
chancelier	NOUN	nmod	Cour
,	PUNCT	punct	plaida
ni	CCONJ	cc	Banc
au	ADP	case	Banc
Banc	NOUN	obl:mod	plaida
de	ADP	case	Reine
la	DET	det	Reine
Reine	PROPN	nmod	Banc
,	PUNCT	punct	Banc
ni	CCONJ	cc	Échiquier
à	ADP	case	Échiquier
l'	DET	det	Échiquier
Échiquier	NOUN	conj	Banc
,	PUNCT	punct	Banc
ni	CCONJ	cc	Cour
en	ADP	case	Cour
Cour	NOUN	conj	Banc
ecclésiastique	ADJ	amod	Cour
.	PUNCT	punct	plaida
Il	PRON	nsubj	industriel
n'	ADV	advmod	industriel
était	AUX	cop	industriel
ni	CCONJ	cc	industriel
industriel	ADJ	ROOT	industriel
,	PUNCT	punct	industriel
ni	CCONJ	cc	négociant
négociant	PROPN	conj	,
,	PUNCT	punct	négociant
ni	CCONJ	cc	marchand
marchand	NOUN	conj	négociant
,	PUNCT	punct	marchand
ni	CCONJ	cc	agriculteur
agriculteur	NOUN	conj	marchand
.	PUNCT	punct	industriel
Il	PRON	nsubj	faisait
ne	ADV	advmod	faisait
faisait	VERB	ROOT	faisait
partie	NOUN	obj	faisait
ni	CCONJ	cc	Institution
de	ADP	case	Institution
l'	DET	det	Institution
Institution	NOUN	conj	partie
royale	ADJ	amod	Institution
de	ADP	case	Grande-Bretagne
la	DET	det	Grande-Bretagne
Grande-Bretagne	PROPN	nmod	Institution
,	PUNCT	punct	faisait
ni	CCONJ	cc	Institution
de	ADP	case	Institution
l'	DET	det	Institution
Institution	NOUN	obl:mod	faisait
de	ADP	case	Londres
Londres	PROPN	nmod	Institution
,	PUNCT	punct	faisait
ni	CCONJ	cc	Institution
de	ADP	case	Institution
l'	DET	det	Institution
Institution	NOUN	obl:mod	faisait
des	ADP	case	Artisans
Artisans	PROPN	nmod	Institution
,	PUNCT	punct	faisait
ni	CCONJ	cc	Institution
de	ADP	case	Institution
l'	DET	det	Institution
Institution	PROPN	obl:mod	faisait
Russell	PROPN	flat:name	Institution
,	PUNCT	punct	Institution
ni	CCONJ	cc	Institution
de	ADP	case	Institution
l'	DET	det	Institution
Institution	NOUN	conj	Institution
littéraire	ADJ	amod	Institution
de	ADP	case	Ouest
l'	DET	det	Ouest
Ouest	PROPN	nmod	Institution
,	PUNCT	punct	Institution
ni	CCONJ	cc	Institution
de	ADP	case	Institution
l'	DET	det	Institution
Institution	NOUN	conj	Institution
du	ADP	case	Droit
Droit	NOUN	nmod	Institution
,	PUNCT	punct	faisait
ni	CCONJ	cc	Institution
de	ADP	case	Institution
cette	DET	det	Institution
Institution	NOUN	obl:mod	faisait
des	ADP	case	Arts
Arts	NOUN	nmod	Institution
et	CCONJ	cc	Sciences
des	ADP	case	Sciences
Sciences	NOUN	conj	Arts
réunis	NUM	nmod	Arts
,	PUNCT	punct	faisait
qui	PRON	nsubj:pass	placée
est	AUX	aux:pass	placée
placée	VERB	advcl	faisait
sous	ADP	case	patronage
le	DET	det	patronage
patronage	NOUN	obl:arg	placée
direct	ADJ	amod	patronage
de	ADP	case	Gracieuse
Sa	DET	det	Gracieuse
Gracieuse	PROPN	nmod	patronage
Majesté	PROPN	flat:name	Gracieuse
.	PUNCT	punct	faisait
Il	PRON	expl:subj	appartenait
n'	ADV	advmod	appartenait
appartenait	VERB	ROOT	appartenait
enfin	ADV	advmod	appartenait
à	ADP	case	aucune
aucune	DET	xcomp	appartenait
des	DET	det	sociétés
nombreuses	ADJ	amod	sociétés
sociétés	NOUN	nmod	aucune
qui	PRON	nsubj	pullulent
pullulent	VERB	acl:relcl	sociétés
dans	ADP	case	capitale
la	DET	det	capitale
capitale	NOUN	obl:arg	pullulent
de	ADP	case	Angleterre
l'	DET	det	Angleterre
Angleterre	PROPN	nmod	capitale
,	PUNCT	punct	appartenait
depuis	ADP	case	Société
la	DET	det	Société
Société	PROPN	obl:mod	appartenait
de	ADP	case	Armonica
l'	DET	det	Armonica
Armonica	PROPN	nmod	Société
jusqu'	ADP	case	Société
à	ADP	case	Société
la	DET	det	Société
Société	PROPN	obl:mod	appartenait
entomologique	ADJ	amod	Société
,	PUNCT	punct	fondée
fondée	VERB	conj	Société
principalement	ADV	advmod	fondée
dans	ADP	case	but
le	DET	det	but
but	NOUN	nmod	Société
de	ADP	mark	détruire
détruire	VERB	nmod	but
les	DET	det	insectes
insectes	NOUN	obj	détruire
nuisibles	ADJ	amod	insectes
.	PUNCT	punct	appartenait
Phileas	PROPN	nsubj	membre
Fogg	PROPN	flat:name	Phileas
était	AUX	cop	membre
membre	NOUN	ROOT	membre
du	ADP	case	Reform
Reform	PROPN	nmod	membre
-	NOUN	ROOT	-
Club	PROPN	ROOT	Club
,	PUNCT	punct	Club
et	CCONJ	cc	voilà
voilà	VERB	conj	Club
tout	ADV	advmod	voilà
.	PUNCT	ROOT	.
A	NOUN	ROOT	A
qui	PRON	nsubj	étonnerait
s'	PRON	expl:comp	étonnerait
étonnerait	VERB	ccomp	A
de	ADP	case	ce
ce	PRON	obl:arg	étonnerait
qu'	SCONJ	mark	gentleman
un	DET	det	gentleman
gentleman	NOUN	acl	ce
aussi	ADV	advmod	mystérieux
mystérieux	ADJ	amod	gentleman
comptât	ADJ	advmod	gentleman
parmi	ADP	case	membres
les	DET	det	membres
membres	NOUN	obl:mod	gentleman
de	ADP	case	association
cette	DET	det	association
honorable	ADJ	amod	association
association	NOUN	nmod	membres
,	PUNCT	punct	répondra
on	PRON	nsubj	répondra
répondra	VERB	advcl	étonnerait
qu'	SCONJ	mark	passa
il	PRON	nsubj	passa
passa	VERB	ccomp	répondra
sur	ADP	case	recommandation
la	DET	det	recommandation
recommandation	NOUN	obl:arg	passa
de	ADP	case	MM.
MM.	NOUN	nmod	recommandation
Baring	PROPN	flat:name	MM.
frères	ADJ	amod	MM.
,	PUNCT	punct	passa
chez	ADP	case	lesquels
lesquels	PRON	obl:mod	avait
il	PRON	nsubj	avait
avait	VERB	advcl	passa
un	DET	det	crédit
crédit	NOUN	obj	avait
ouvert	ADJ	amod	crédit
.	PUNCT	punct	A
De	ADP	advmod	surface
là	ADV	fixed	De
une	DET	det	certaine
certaine	NOUN	nsubj	surface
«	VERB	amod	certaine
surface	VERB	ROOT	surface
»	PUNCT	punct	surface
,	PUNCT	punct	surface
due	ADJ	amod	surface
à	ADP	case	ce
ce	PRON	obl:arg	due
que	SCONJ	mark	payés
ses	DET	det	chèques
chèques	NOUN	nsubj:pass	payés
étaient	AUX	aux:pass	payés
régulièrement	ADV	advmod	payés
payés	VERB	acl	ce
à	ADP	case	vue
vue	NOUN	obl:arg	payés
par	ADP	case	débit
le	DET	det	débit
débit	NOUN	obl:agent	payés
de	ADP	case	compte
son	DET	det	compte
compte	NOUN	nmod	débit
courant	ADJ	amod	compte
invariablement	ADV	advmod	créditeur
créditeur	ADJ	acl	compte
.	PUNCT	punct	surface
Ce	DET	det	Phileas
Phileas	PROPN	nsubj	riche
Fogg	PROPN	flat:name	Phileas
était	AUX	cop	riche
-il	PRON	expl:subj	riche
riche	VERB	ROOT	riche
?	PUNCT	punct	riche
Incontestablement	ADV	ROOT	Incontestablement
.	PUNCT	punct	Incontestablement
Mais	CCONJ	cc	fait
comment	ADV	cc	fait
il	PRON	nsubj	fait
avait	AUX	aux:tense	fait
fait	VERB	advcl	ce
fortune	NOUN	obj	fait
,	PUNCT	punct	ce
c'	PRON	expl:subj	ce
est	AUX	cop	ce
ce	PRON	ROOT	ce
que	PRON	obj	informés
les	DET	det	informés
mieux	ADV	advmod	informés
informés	VERB	acl:relcl	ce
ne	ADV	advmod	pouvaient
pouvaient	ADV	obl:mod	informés
dire	VERB	xcomp	pouvaient
,	PUNCT	punct	informés
et	CCONJ	cc	Mr.
Mr.	PROPN	nsubj	auquel
Fogg	PROPN	flat:name	Mr.
était	AUX	cop	auquel
le	DET	det	auquel
dernier	ADJ	amod	auquel
auquel	NOUN	dep	convînt
il	PRON	expl:subj	convînt
convînt	NOUN	punct	ce
de	ADP	mark	adresser
s'	PRON	expl:comp	adresser
adresser	VERB	xcomp	convînt
pour	ADP	case	apprendre
l'	DET	det	apprendre
apprendre	VERB	obl:arg	adresser
.	PUNCT	punct	ce
En	ADP	case	cas
tout	DET	det	cas
cas	NOUN	obl:mod	prodigue
,	PUNCT	punct	prodigue
il	PRON	expl:subj	prodigue
n'	ADV	advmod	prodigue
était	AUX	cop	prodigue
prodigue	ADJ	ROOT	prodigue
de	ADP	case	rien
rien	PRON	obl:arg	prodigue
,	PUNCT	punct	rien
mais	CCONJ	cc	avare
non	ADV	advmod	avare
avare	ADJ	conj	rien
,	PUNCT	punct	rien
car	CCONJ	cc	manquait
partout	ADV	advmod	manquait
où	SCONJ	iobj	manquait
il	PRON	nsubj	manquait
manquait	VERB	conj	prodigue
un	DET	det	appoint
appoint	NOUN	obj	manquait
pour	ADP	case	chose
une	DET	det	chose
chose	NOUN	obl:mod	manquait
noble	ADJ	amod	chose
,	PUNCT	punct	noble
utile	ADJ	amod	chose
ou	CCONJ	cc	généreuse
généreuse	ADJ	conj	utile
,	PUNCT	punct	apportait
il	PRON	expl:subj	apportait
l'	PRON	obj	apportait
apportait	PRON	conj	manquait
silencieusement	VERB	advmod	apportait
et	CCONJ	cc	anonymement
même	ADV	advmod	anonymement
anonymement	ADV	conj	apportait
.	PUNCT	punct	prodigue
En	ADP	case	somme
somme	NOUN	ROOT	somme
,	PUNCT	punct	somme
rien	PRON	nmod	somme
de	ADP	mark	communicatif
moins	ADV	fixed	de
communicatif	ADJ	acl	rien
que	SCONJ	mark	gentleman
ce	DET	nsubj	gentleman
gentleman	ADJ	ccomp	communicatif
.	PUNCT	ROOT	.
Il	PRON	nsubj	parlait
parlait	VERB	ROOT	parlait
aussi	ADV	advmod	parlait
peu	ADV	advmod	parlait
que	SCONJ	mark	possible
possible	ADJ	ccomp	parlait
,	PUNCT	punct	parlait
et	CCONJ	cc	semblait
semblait	VERB	conj	parlait
d'	ADP	advmod	mystérieux
autant	ADV	fixed	d'
plus	ADV	advmod	mystérieux
mystérieux	ADJ	obl:arg	semblait
qu'	PRON	mark	silencieux
il	PRON	expl:subj	silencieux
était	AUX	cop	silencieux
silencieux	ADJ	acl:relcl	mystérieux
.	PUNCT	punct	parlait
Cependant	ADV	amod	vie
sa	DET	det	vie
vie	NOUN	nsubj	jour
était	AUX	cop	jour
à	ADP	case	jour
jour	NOUN	ROOT	jour
,	PUNCT	punct	jour
mais	CCONJ	cc	ce
ce	PRON	conj	jour
qu'	PRON	mark	faisait
il	PRON	nsubj	faisait
faisait	VERB	acl:relcl	ce
était	AUX	dep	faisait
si	ADV	advmod	mathématiquement
mathématiquement	NOUN	advmod	chose
toujours	ADV	advmod	mathématiquement
la	DET	det	chose
même	ADJ	amod	chose
chose	NOUN	obj	faisait
,	PUNCT	punct	faisait
que	SCONJ	mark	cherchait
l'	DET	det	imagination
imagination	NOUN	nsubj	cherchait
,	PUNCT	punct	imagination
mécontente	ADJ	amod	imagination
,	PUNCT	punct	cherchait
cherchait	VERB	ccomp	faisait
au-delà	ADV	advmod	cherchait
.	PUNCT	ROOT	.
Avait	AUX	aux:tense	voyagé
-il	PRON	expl:subj	voyagé
voyagé	VERB	ROOT	voyagé
?	PUNCT	punct	voyagé
C'	PRON	nsubj	probable
était	AUX	cop	probable
probable	ADJ	ROOT	probable
,	PUNCT	punct	probable
car	CCONJ	cc	personne
personne	NOUN	nsubj	possédait
ne	ADV	advmod	possédait
possédait	VERB	parataxis	probable
mieux	ADV	advmod	possédait
que	SCONJ	advmod	possédait
lui	PRON	dep	que
la	DET	det	carte
carte	NOUN	obj	possédait
du	ADP	case	monde
monde	NOUN	nmod	carte
.	PUNCT	punct	probable
Il	PRON	expl:subj	endroit
n'	ADV	advmod	endroit
était	AUX	cop	endroit
endroit	VERB	ROOT	endroit
si	ADV	mark	reculé
reculé	VERB	xcomp	endroit
dont	PRON	mark	parût
il	PRON	expl:subj	parût
ne	ADV	advmod	parût
parût	VERB	advcl	reculé
avoir	VERB	xcomp	parût
une	DET	det	connaissance
connaissance	NOUN	obj	avoir
spéciale	ADJ	amod	connaissance
.	PUNCT	punct	endroit
Quelquefois	ADV	ROOT	Quelquefois
,	PUNCT	punct	Quelquefois
mais	CCONJ	cc	redressait
en	ADP	case	peu
peu	ADV	obl:mod	redressait
de	ADP	case	mots
mots	NOUN	obl:arg	peu
,	PUNCT	punct	mots
brefs	ADJ	amod	mots
et	CCONJ	cc	clairs
clairs	NOUN	conj	brefs
,	PUNCT	punct	redressait
il	PRON	nsubj	redressait
redressait	VERB	conj	Quelquefois
les	DET	det	propos
mille	NUM	nummod	propos
propos	NOUN	obj	redressait
qui	PRON	nsubj	circulaient
circulaient	VERB	acl:relcl	propos
dans	ADP	case	club
le	DET	det	club
club	NOUN	obl:mod	redressait
au	ADP	case	sujet
sujet	NOUN	nmod	club
des	ADP	case	voyageurs
voyageurs	NOUN	nmod	club
perdus	ADJ	amod	voyageurs
ou	CCONJ	cc	égarés
égarés	NOUN	conj	perdus
;	PUNCT	punct	Quelquefois
il	PRON	nsubj	indiquait
indiquait	VERB	ROOT	indiquait
les	DET	det	vraies
vraies	NOUN	obj	indiquait
probabilités	VERB	acl	vraies
,	PUNCT	punct	indiquait
et	CCONJ	cc	trouvées
ses	DET	det	paroles
paroles	NOUN	nsubj:pass	trouvées
s'	PRON	expl:pass	trouvées
étaient	AUX	aux:pass	trouvées
trouvées	VERB	advcl	finissait
souvent	ADV	advmod	trouvées
comme	ADP	case	inspirées
inspirées	VERB	obl:mod	trouvées
par	ADP	case	vue
une	DET	det	vue
seconde	ADJ	amod	vue
vue	NOUN	obl:agent	inspirées
,	PUNCT	punct	inspirées
tant	ADV	advmod	événement
l'	DET	det	événement
événement	NOUN	nsubj	finissait
finissait	VERB	advcl	indiquait
toujours	ADV	advmod	finissait
par	ADP	case	justifier
les	DET	det	justifier
justifier	VERB	xcomp	finissait
.	PUNCT	punct	indiquait
C'	PRON	nsubj	homme
était	AUX	cop	homme
un	DET	det	homme
homme	NOUN	ROOT	homme
qui	PRON	nsubj	dû
avait	AUX	aux:tense	dû
dû	VERB	acl:relcl	homme
voyager	VERB	xcomp	dû
partout	ADV	advmod	voyager
,	PUNCT	punct	esprit
--	PUNCT	punct	esprit
en	ADP	case	esprit
esprit	NOUN	conj	homme
,	PUNCT	punct	esprit
tout	ADV	advmod	esprit
au	ADP	fixed	tout
moins	ADV	fixed	tout
.	PUNCT	punct	homme
Ce	PRON	ROOT	Ce
qui	PRON	nsubj	quitté
était	AUX	cop	quitté
certain	ADJ	amod	toutefois
toutefois	ADV	advmod	quitté
,	PUNCT	punct	quitté
c'	PRON	cc	quitté
est	VERB	fixed	c'
que	ADV	fixed	c'
,	PUNCT	punct	quitté
depuis	ADP	case	années
de	DET	det	années
longues	ADJ	amod	années
années	NOUN	obl:mod	quitté
,	PUNCT	punct	quitté
Phileas	PROPN	nsubj	quitté
Fogg	PROPN	flat:name	Phileas
n'	ADV	advmod	quitté
avait	AUX	aux:tense	quitté
pas	ADV	advmod	quitté
quitté	VERB	acl:relcl	Ce
Londres	PROPN	nmod	quitté
.	PUNCT	punct	Ce
Ceux	PRON	ROOT	Ceux
qui	PRON	nsubj	avaient
avaient	VERB	acl:relcl	Ceux
l'	DET	det	honneur
honneur	NOUN	obj	avaient
de	ADP	mark	connaître
le	PRON	obj	connaître
connaître	VERB	xcomp	avaient
un	DET	det	que
peu	ADV	fixed	un
plus	ADV	fixed	un
que	SCONJ	mark	attestaient
les	DET	det	autres
autres	ADJ	nsubj	attestaient
attestaient	NOUN	fixed	un
que	SCONJ	mark	pouvait
--	PUNCT	punct	pouvait
si	SCONJ	mark	est
ce	PRON	nsubj	est
n'	ADV	advmod	est
est	VERB	advcl	pouvait
sur	ADP	case	chemin
ce	DET	det	chemin
chemin	NOUN	obl:mod	est
direct	ADJ	amod	chemin
qu'	PRON	obj	parcourait
il	PRON	nsubj	parcourait
parcourait	VERB	acl:relcl	chemin
chaque	DET	det	jour
jour	NOUN	obj	parcourait
pour	ADP	mark	venir
venir	VERB	advcl	parcourait
de	ADP	case	maison
sa	DET	det	maison
maison	NOUN	obl:arg	venir
au	ADP	case	club
club	NOUN	obl:arg	venir
--	PUNCT	det	personne
personne	NOUN	nsubj	pouvait
ne	ADV	advmod	pouvait
pouvait	VERB	advcl	avaient
prétendre	VERB	obj	pouvait
l'	PRON	obj	vu
avoir	AUX	aux:tense	vu
jamais	ADV	advmod	vu
vu	VERB	xcomp	pouvait
ailleurs	ADV	advmod	vu
.	PUNCT	punct	Ceux
Son	DET	det	passe-temps
seul	ADJ	amod	passe-temps
passe-temps	NOUN	nsubj	lire
était	AUX	cop	lire
de	ADP	mark	lire
lire	VERB	ROOT	lire
les	DET	det	journaux
journaux	NOUN	obj	lire
et	CCONJ	cc	jouer
de	ADP	mark	jouer
jouer	VERB	conj	lire
au	ADP	case	whist
whist	NOUN	obl:arg	jouer
.	PUNCT	punct	lire
A	ADP	case	jeu
ce	DET	det	jeu
jeu	NOUN	obl:mod	gagnait
du	ADP	case	silence
silence	NOUN	nmod	jeu
,	PUNCT	punct	gagnait
si	SCONJ	mark	approprié
bien	ADV	advmod	approprié
approprié	ADJ	advcl	gagnait
à	ADP	case	nature
sa	DET	det	nature
nature	NOUN	obl:arg	approprié
,	PUNCT	punct	gagnait
